secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
165,0,69.6667,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
166,0,70,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
167,0,71,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
168,0,70.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
169,0,70,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
170,0,69,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
171,0,68.75,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
172,0,68.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
173,0,68.25,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
174,0,68,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
175,0,69,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
176,0,70,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
177,0,71,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
178,0,70.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
179,0,70,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
180,0,70.3333,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
181,0,70.6667,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
182,0,71,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
183,0,71.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
184,0,72,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
185,0,72.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
186,0,73,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
187,0,74,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
188,0,74.25,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
189,0,74.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
190,0,74.75,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
191,0,75,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
192,0,75.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
193,0,76,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
194,0,76.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
195,0,77,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
196,0,76.9,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
197,0,76.8,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
198,0,76.7,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
199,0,76.6,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
200,0,76.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
201,0,76.4,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
202,0,76.3,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
203,0,76.2,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
204,0,76.1,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
205,0,76,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
206,0,75,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
207,0,74,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
208,0,73,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
209,0,72.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
210,0,72,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
211,0,71.5,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
212,0,71,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
213,0,70,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
